time_series_timestamp,time_series_type,time_series_data,time_series_adjusted_data,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound,trend,seasonal_period_yearly,seasonal_period_quarterly,seasonal_period_monthly,seasonal_period_weekly,seasonal_period_daily,holiday_effect,spikes_and_dips,step_changes,residual
1975-01-01 00:00:00.000000 UTC,history,67.0117,67.0117,2.5712099753508539,,,,0.0,6.8215833786352018,,,,,,,,60.1901166213648
1975-02-01 00:00:00.000000 UTC,history,52.6964,55.24783239668286,2.5712099753508539,,,,60.293395870391947,-5.0455634737090875,,,,,,,,-2.5514323966828627
1975-03-01 00:00:00.000000 UTC,history,50.6689,44.963100620734707,2.5712099753508539,,,,58.390360373869882,-13.427259753135173,,,,,,,,5.7057993792652937
1975-04-01 00:00:00.000000 UTC,history,59.7613,51.335783271087848,2.5712099753508539,,,,63.042330845561239,-11.706547574473388,,,,,,,,8.42551672891215
1975-05-01 00:00:00.000000 UTC,history,60.8277,59.025512314576495,2.5712099753508539,,,,68.870757428761692,-9.8452451141851967,,,,,,,,1.8021876854235046
1975-06-01 00:00:00.000000 UTC,history,63.3629,59.80766381899987,2.5712099753508539,,,,69.464829952127729,-9.6571661331278555,,,,,,,,3.5552361810001329
1975-07-01 00:00:00.000000 UTC,history,62.3089,59.716792283987651,2.5712099753508539,,,,72.031635730826679,-12.314843446839028,,,,,,,,2.5921077160123502
1975-08-01 00:00:00.000000 UTC,history,66.9021,64.101425513714275,2.5712099753508539,,,,73.703280664794917,-9.60185515108064,,,,,,,,2.8006744862857289
1975-09-01 00:00:00.000000 UTC,history,66.32,69.6268614206639,2.5712099753508539,,,,75.627781847343272,-6.0009204266793663,,,,,,,,-3.3068614206639069
1975-10-01 00:00:00.000000 UTC,history,96.3411,93.390695292337625,2.5712099753508539,,,,72.985806792522951,20.404888499814682,,,,,,,,2.9504047076623721
1975-11-01 00:00:00.000000 UTC,history,105.6285,99.979154783496483,2.5712099753508539,,,,75.620468565512283,24.358686217984193,,,,,,,,5.6493452165035194
1975-12-01 00:00:00.000000 UTC,history,102.1819,105.19938277773095,2.5712099753508539,,,,79.628575449197811,25.570807328533135,,,,,,,,-3.0174827777309474
1976-01-01 00:00:00.000000 UTC,history,87.9578,83.767610498841108,2.5712099753508539,,,,76.912811874408163,6.8547986244329424,,,,,,,,4.1901895011588977
1976-02-01 00:00:00.000000 UTC,history,75.1878,75.629039846983076,2.5712099753508539,,,,80.440758564416242,-4.81171871743316,,,,,,,,-0.4412398469830805
1976-03-01 00:00:00.000000 UTC,history,62.0101,66.742476667804141,2.5712099753508539,,,,79.790362911267025,-13.047886243462884,,,,,,,,-4.7323766678041395
1976-04-01 00:00:00.000000 UTC,history,64.4758,64.69505907073335,2.5712099753508539,,,,76.4165713924924,-11.721512321759052,,,,,,,,-0.21925907073334372
1976-05-01 00:00:00.000000 UTC,history,70.5454,66.957253131807221,2.5712099753508539,,,,76.837038119077192,-9.8797849872699679,,,,,,,,3.58814686819278
1976-06-01 00:00:00.000000 UTC,history,68.2086,70.072740370133189,2.5712099753508539,,,,79.632913357909743,-9.5601729877765482,,,,,,,,-1.8641403701331853
1976-07-01 00:00:00.000000 UTC,history,69.3122,65.531169712087788,2.5712099753508539,,,,77.984692879906234,-12.453523167818448,,,,,,,,3.7810302879122162
1976-08-01 00:00:00.000000 UTC,history,71.5922,71.384394523653853,2.5712099753508539,,,,81.091072985619064,-9.7066784619652164,,,,,,,,0.20780547634615232
1976-09-01 00:00:00.000000 UTC,history,76.9073,75.028127889424326,2.5712099753508539,,,,80.965232583085623,-5.9371046936613006,,,,,,,,1.8791721105756807
1976-10-01 00:00:00.000000 UTC,history,107.9049,102.52919930888643,2.5712099753508539,,,,82.445927401103859,20.083271907782578,,,,,,,,5.3757006911135647
1976-11-01 00:00:00.000000 UTC,history,111.6584,110.40077263774248,2.5712099753508539,,,,86.3591181420874,24.041654495655077,,,,,,,,1.2576273622575229
1976-12-01 00:00:00.000000 UTC,history,113.9655,112.210785566252,2.5712099753508539,,,,86.852700360568235,25.358085205683768,,,,,,,,1.7547144337480063
1977-01-01 00:00:00.000000 UTC,history,97.3515,95.222232877753328,2.5712099753508539,,,,88.13421328598325,7.0880195917700828,,,,,,,,2.1292671222466737
1977-02-01 00:00:00.000000 UTC,history,90.0083,85.5014993738183,2.5712099753508539,,,,89.644015667762858,-4.1425162939445581,,,,,,,,4.5068006261817
1977-03-01 00:00:00.000000 UTC,history,77.2871,80.486882511306774,2.5712099753508539,,,,92.885178956735132,-12.398296445428363,,,,,,,,-3.199782511306779
1977-04-01 00:00:00.000000 UTC,history,76.0459,78.194586417800835,2.5712099753508539,,,,90.14971757365096,-11.955131155850129,,,,,,,,-2.1486864178008318
1977-05-01 00:00:00.000000 UTC,history,77.9316,78.9802603190029,2.5712099753508539,,,,88.978727354228923,-9.9984670352260334,,,,,,,,-1.0486603190028916
1977-06-01 00:00:00.000000 UTC,history,78.3077,78.976593176569708,2.5712099753508539,,,,88.519696260186109,-9.543103083616403,,,,,,,,-0.66889317656971059
1977-07-01 00:00:00.000000 UTC,history,75.8701,75.431302823252608,2.5712099753508539,,,,88.231635455344858,-12.80033263209225,,,,,,,,0.43879717674738572
1977-08-01 00:00:00.000000 UTC,history,78.1822,78.692183796124979,2.5712099753508539,,,,88.7293791247018,-10.037195328576813,,,,,,,,-0.50998379612498468
1977-09-01 00:00:00.000000 UTC,history,84.2727,82.5512035601226,2.5712099753508539,,,,88.40859929795144,-5.857395737828841,,,,,,,,1.7214964398773986
